ID,Sales Segment,Global Region,Industry,Booking Date Date,Lead Source,Type,Reporting Type Reason,Stage Name,Source,Number of Employees,Is Customer (Yes / No),Created Date,Tenure Months,Total ARR
436,Emerging,NA,,2020-01-31,,New Deal,New,Closed Won,,,Yes,2020-01-30,47 Months,$3K
437,Emerging,APAC,Internet Software & Services,2020-01-31,,New Deal,New,Closed Won,,70,Yes,2020-01-22,39 Months,$8K
438,SMB,NA,Computer Software,2020-01-31,,Upgrade,Upgrade,Closed Won,,27,Yes,2020-01-27,60 Months,$3K
439,SMB,EMEA,Media & Internet,2020-01-31,,New Deal,New,Closed Lost,,210,No,2019-11-26,11 Months,$10K
440,Mid-Market,NA,Internet Software & Services,2020-01-31,Intercom - Live Chat,New Deal,New,Disqualified,Intercom - Live Chat,613,No,2019-09-04,60 Months,$86K
441,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-30,47 Months,$1K
442,SMB,NA,Internet Software & Services,2020-01-31,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,50,Yes,2020-01-16,47 Months,$6K
443,Enterprise,EMEA,Internet Software & Services,2020-01-31,Datahug,New Deal,New,Closed Won,Datahug,0,Yes,2019-07-03,11 Months,$48K
444,Emerging,Unknown,,2020-01-31,,New Deal,New,Closed Lost,,,No,2020-01-14,7 Months,$2K
445,Emerging,NA,,2020-01-31,,New Deal,New,Closed Won,,,Yes,2020-01-30,7 Months,$2K
446,SMB,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,125,Yes,2019-10-18,60 Months,$16K
447,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,18,Yes,2020-01-23,31 Months,$4K
448,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,10,Yes,2020-01-31,60 Months,$3K
449,Emerging,NA,,2020-01-31,,New Deal,New,Closed Won,,,Yes,2020-01-28,60 Months,$9K
450,Emerging,NA,,2020-01-31,Outbound,New Deal,New,Closed Won,Outbound,,Yes,2019-11-11,39 Months,$40K
451,Enterprise,EMEA,Professional Services,2020-01-31,Referral,New Deal,New,Closed Won,Referral,"52,744",Yes,2019-04-09,15 Months,$53K
452,Emerging,NA,Renewable Energy,2020-01-31,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,30,Yes,2020-01-08,31 Months,$5K
453,Emerging,NA,Internet Software & Services,2020-01-31,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,10,Yes,2020-01-21,7 Months,$12K
454,SMB,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-30,60 Months,$25K
455,Emerging,NA,Communications Equipment,2020-01-31,,Upgrade,Upgrade,Closed Won,,50,Yes,2020-01-17,39 Months,$5K
456,Emerging,NA,Internet Software & Services,2020-01-31,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,34,Yes,2020-01-17,47 Months,$15K
457,Mid-Market,NA,Internet Software & Services,2020-01-31,SalesLoft,New Deal,New,Closed Lost,SalesLoft,11,No,2019-07-29,39 Months,$180K
458,Emerging,NA,Internet Software & Services,2020-01-31,Social Ads,New Deal,New,Closed Won,Social Ads,11,Yes,2020-01-17,4 Months,$5K
459,Emerging,EMEA,,2020-01-31,,New Deal,New,Closed Lost,,33,No,2019-10-15,11 Months,$12K
460,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,45,Yes,2020-02-01,60 Months,$16K
461,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,15,Yes,2020-01-27,60 Months,$31K
462,Emerging,NA,Internet Software & Services,2020-01-31,,New Deal,New,Closed Won,,60,Yes,2020-01-06,7 Months,$12K
463,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Lost,,110,Yes,2019-10-30,60 Months,-$720.00
464,Enterprise,NA,Diversified Financial Services,2020-01-31,SalesLoft (Prospector),New Deal,New,Closed Won,SalesLoft (Prospector),195,Yes,2019-11-05,23 Months,$73K
465,Emerging,Unknown,,2020-01-31,,New Deal,New,Closed Won,,,Yes,2020-01-31,67 Months,$4K
466,Emerging,NA,Internet Software & Services,2020-01-31,,New Deal,New,Closed Lost,,45,No,2019-12-11,7 Months,$1K
467,Emerging,NA,,2020-01-31,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,,No,2019-08-13,31 Months,$19K
468,Emerging,NA,Internet Software & Services,2020-01-31,Data Vendor,New Deal,New,Closed Won,Data Vendor,30,Yes,2019-10-02,39 Months,$18K
469,Emerging,EMEA,Internet Software & Services,2020-01-31,,New Deal,New,Closed Lost,,11,No,2020-01-21,11 Months,$5K
470,SMB,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,51,Yes,2020-01-30,31 Months,$14K
471,Emerging,NA,Renewable Electricity,2020-01-31,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,30,No,2019-11-19,7 Months,$10K
472,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,9,Yes,2020-01-31,31 Months,$0.00
473,SMB,NA,Manufacturing - Durables,2020-01-31,Datahug,New Deal,New,Closed Won,Datahug,400,Yes,2019-12-13,31 Months,$18K
474,Emerging,NA,Biotechnology,2020-01-31,,Upgrade,Upgrade,Closed Won,,0,Yes,2020-01-31,7 Months,$1K
475,Emerging,Unknown,,2020-01-31,,New Deal,New,Closed Lost,,,No,2019-12-23,7 Months,$3K
476,Emerging,NA,Internet Software & Services,2020-01-31,,New Deal,,Closed Lost,,35,No,2019-12-09,58 Months,$3K
477,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-30,47 Months,$18K
478,SMB,NA,Computer Hardware,2020-01-31,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,120,No,2019-09-03,47 Months,$6K
479,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,90,Yes,2020-01-15,3 Months,$4K
480,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Lost,,11,Yes,2019-10-15,60 Months,$6K
481,SMB,NA,Internet Software & Services,2020-01-31,Datahug,New Deal,New,Closed Won,Datahug,201,Yes,2019-04-10,31 Months,$29K
482,SMB,NA,Software,2020-01-31,,New Deal,New,Closed Won,,119,Yes,2020-01-09,31 Months,$8K
483,SMB,EMEA,Internet Software & Services,2020-01-31,SalesLoft (Prospector),New Deal,New,Closed Won,SalesLoft (Prospector),50,Yes,2019-09-02,11 Months,$17K
484,Emerging,NA,Transportation,2020-01-31,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,,Yes,2020-01-09,47 Months,$11K
485,Emerging,NA,Internet Software & Services,2020-01-31,,Upgrade,Upgrade,Closed Won,,30,Yes,2020-01-28,39 Months,-$600.00
486,SMB,NA,Professional Services,2020-01-31,Social Ads,New Deal,New,Closed Won,Social Ads,101,Yes,2019-12-23,38 Months,$20K
487,Emerging,EMEA,,2020-01-30,Webinar,New Deal,New,Closed Won,Webinar,,Yes,2020-01-23,11 Months,$3K
488,SMB,NA,Internet Software & Services,2020-01-30,Events,New Deal,New,Closed Won,Events,51,Yes,2019-07-23,47 Months,$106K
489,Enterprise,NA,Pharmaceuticals,2020-01-30,Referral,New Deal,New,Closed Won,Referral,"7,570",Yes,2019-10-18,23 Months,$8K
490,Emerging,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,50,Yes,2020-01-28,60 Months,$8K
491,Enterprise,NA,Internet Software & Services,2020-01-30,Data Vendor,New Deal,Upgrade,Closed Won,Data Vendor,"3,095",Yes,2020-01-27,15 Months,$134K
492,SMB,NA,Professional Services,2020-01-30,,Upgrade,Upgrade,Disqualified,,51,Yes,2020-01-14,60 Months,-$900.05
493,SMB,NA,Professional Services,2020-01-30,,New Deal,New,Closed Won,,51,Yes,2019-12-02,47 Months,$15K
494,Emerging,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-24,47 Months,$10K
495,Emerging,EMEA,Internet Software & Services,2020-01-30,Website,New Deal,New,Closed Won,Website,10,Yes,2020-01-07,11 Months,$17K
496,SMB,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,350,Yes,2020-01-30,60 Months,$2K
497,Emerging,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,17,Yes,2020-01-13,31 Months,$3K
498,Emerging,Unknown,,2020-01-30,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,,Yes,2020-01-08,47 Months,$11K
499,Emerging,NA,,2020-01-30,,Upgrade,Upgrade,Closed Won,,,No,2020-01-29,47 Months,$1K
500,Emerging,EMEA,,2020-01-30,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-29,4 Months,$6K
501,Enterprise,NA,Internet Software & Services,2020-01-30,Events,New Deal,New,Closed Won,Events,180,Yes,2019-06-28,39 Months,$65K
502,Emerging,NA,Retail,2020-01-30,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,40,Yes,2020-01-14,7 Months,$14K
503,SMB,NA,Professional Services,2020-01-30,Google Natural Search,New Deal,New,Closed Won,Google Natural Search,51,Yes,2019-11-14,31 Months,$9K
504,Emerging,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,92,Yes,2020-01-29,60 Months,$2K
505,Emerging,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,51,Yes,2020-01-29,60 Months,$2K
506,Emerging,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,54,Yes,2020-01-27,31 Months,$3K
507,SMB,NA,Internet,2020-01-30,,New Deal,New,Closed Won,,58,Yes,2019-12-31,31 Months,$24K
508,SMB,NA,Professional Services,2020-01-30,,Upgrade,Upgrade,Closed Lost,,75,Yes,2019-08-26,60 Months,$10K
509,SMB,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,201,Yes,2020-01-29,31 Months,$14K
510,Mid-Market,NA,Internet Software & Services,2020-01-30,,Upgrade,Upgrade,Closed Won,,375,Yes,2020-01-15,60 Months,$7K
511,Emerging,NA,Internet Software & Services,2020-01-30,Google Ad,New Deal,New,Closed Won,Google Ad,,Yes,2020-01-07,47 Months,$1K
512,Emerging,NA,Retailing,2020-01-30,,New Deal,New,Closed Won,,,Yes,2020-01-15,47 Months,$8K
513,Emerging,NA,Media,2020-01-29,,Upgrade,Upgrade,Closed Won,,14,Yes,2020-01-29,60 Months,$1K
514,SMB,NA,Internet Software & Services,2020-01-29,,Upgrade,Upgrade,Closed Won,,15,No,2020-01-13,60 Months,$5K
515,SMB,NA,Internet Software & Services,2020-01-29,Data Vendor,New Deal,New,Closed Won,Data Vendor,0,Yes,2019-12-18,31 Months,$24K
516,Emerging,NA,Internet Software & Services,2020-01-29,,Upgrade,Upgrade,Closed Won,,35,Yes,2020-01-29,60 Months,$3K
517,Enterprise,NA,Transportation,2020-01-29,ZoomInfo,New Deal,Upgrade,Closed Won,ZoomInfo,"10,001",Yes,2019-05-28,15 Months,$27K
518,Enterprise,NA,Professional Services,2020-01-29,Datahug,New Deal,Upgrade,Closed Won,Datahug,"3,261",Yes,2020-01-23,15 Months,$36K
519,Emerging,NA,Computer Software,2020-01-29,,Upgrade,Upgrade,Closed Won,,10,Yes,2020-01-29,39 Months,$2K
520,Emerging,NA,Internet Software & Services,2020-01-29,,Upgrade,Upgrade,Closed Won,,5,Yes,2020-01-29,60 Months,$1K
521,SMB,NA,Internet Software & Services,2020-01-29,,Upgrade,Upgrade,Closed Won,,201,Yes,2020-01-07,60 Months,$3K
522,Emerging,EMEA,Internet Software & Services,2020-01-29,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-29,11 Months,$1K
523,Emerging,NA,,2020-01-29,,New Deal,New,Closed Lost,,,No,2020-01-08,38 Months,$9K
524,Emerging,NA,,2020-01-29,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-29,4 Months,$3K
525,SMB,NA,Internet Software & Services,2020-01-29,,Upgrade,Upgrade,Closed Won,,51,Yes,2020-01-28,39 Months,$19K
526,Enterprise,NA,Transportation,2020-01-29,,Upgrade,Upgrade,Closed Won,,"10,001",Yes,2020-01-22,15 Months,$10K
527,Emerging,NA,,2020-01-29,,New Deal,New,Closed Won,,,Yes,2019-11-26,4 Months,$3K
528,Emerging,NA,Internet Software & Services,2020-01-29,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,20,Yes,2019-10-22,4 Months,$9K
529,Emerging,NA,Internet Software & Services,2020-01-29,,Upgrade,Upgrade,Closed Won,,40,Yes,2020-01-28,60 Months,$5K
530,SMB,NA,Professional Services,2020-01-29,,Upgrade,Upgrade,Closed Won,,71,Yes,2020-01-29,60 Months,-$900.06
531,Emerging,NA,E-Learning,2020-01-28,,Upgrade,Upgrade,Closed Won,,29,Yes,2020-01-24,47 Months,$8K
532,Emerging,NA,Internet Software & Services,2020-01-28,,Upgrade,Upgrade,Closed Won,,125,Yes,2020-01-24,31 Months,$2K
533,Emerging,NA,Internet Software & Services,2020-01-28,,Upgrade,Upgrade,Closed Won,,50,Yes,2020-01-27,47 Months,-$335.81
534,Emerging,APAC,,2020-01-28,Google Natural Search,New Deal,New,Closed Won,Google Natural Search,,Yes,2019-09-10,31 Months,$11K
535,Emerging,NA,Internet,2020-01-28,,Upgrade,Upgrade,Closed Won,,55,Yes,2020-01-22,60 Months,$7K
536,Emerging,NA,,2020-01-28,,New Deal,New,Closed Won,,,Yes,2019-10-09,47 Months,$4K
537,Mid-Market,NA,Internet Software & Services,2020-01-28,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,535,Yes,2019-11-14,47 Months,$55K
538,SMB,NA,Internet Software & Services,2020-01-28,,Upgrade,Upgrade,Closed Won,,90,Yes,2020-01-27,60 Months,-$900.00
539,SMB,NA,Internet Software & Services,2020-01-28,,Upgrade,Upgrade,Closed Won,,230,Yes,2020-01-24,60 Months,$10K
540,Emerging,NA,Internet Software & Services,2020-01-28,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-13,47 Months,$2K
541,Emerging,NA,,2020-01-28,,New Deal,New,Closed Won,,,Yes,2020-01-06,47 Months,$7K
542,SMB,EMEA,Internet Software & Services,2020-01-28,,Upgrade,Upgrade,Closed Won,,60,Yes,2020-01-28,47 Months,$1K
543,Emerging,NA,Internet Software & Services,2020-01-28,Events,New Deal,New,Closed Won,Events,5,Yes,2020-01-09,4 Months,$4K
544,Emerging,NA,Internet Software & Services,2020-01-28,,Upgrade,Upgrade,Closed Won,,20,Yes,2020-01-27,7 Months,$3K
545,Emerging,EMEA,Technology,2020-01-28,,Upgrade,Upgrade,Closed Won,,140,Yes,2020-01-27,11 Months,$17K
546,Emerging,NA,Internet Software & Services,2020-01-28,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-27,60 Months,-$960.00
547,Emerging,NA,Consulting,2020-01-27,,Upgrade,Upgrade,Closed Won,,50,Yes,2019-12-19,31 Months,$1K
548,Emerging,EMEA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,46,Yes,2020-01-27,11 Months,$4K
549,Emerging,NA,,2020-01-27,Outbound,New Deal,New,Closed Won,Outbound,,Yes,2020-01-27,47 Months,-$480.00
550,Emerging,NA,Technology,2020-01-27,,Upgrade,Upgrade,Closed Won,,50,Yes,2020-01-20,47 Months,$1K
551,SMB,NA,Professional Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,90,Yes,2020-01-27,47 Months,$15K
552,Emerging,NA,Technology,2020-01-27,,Upgrade,Upgrade,Closed Won,,17,Yes,2020-01-27,47 Months,$5K
553,SMB,NA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,11,Yes,2019-11-20,7 Months,$2K
554,SMB,NA,Internet Software & Services,2020-01-27,,New Deal,New,Closed Won,,179,Yes,2020-01-17,31 Months,$2K
555,Emerging,NA,Professional Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,3,Yes,2020-01-23,60 Months,-$599.98
556,SMB,NA,Diversified Financial Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,51,Yes,2019-12-05,60 Months,$10K
557,Emerging,EMEA,,2020-01-27,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-22,11 Months,-$453.60
558,Emerging,NA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,1,Yes,2020-01-27,60 Months,-$959.93
559,Emerging,NA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,,Yes,2019-10-28,4 Months,$2K
560,Emerging,NA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,3,Yes,2020-01-27,60 Months,-$599.98
561,Emerging,NA,,2020-01-27,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-24,31 Months,$4K
562,SMB,NA,Diversified Consumer Services,2020-01-27,SalesLoft,New Deal,New,Closed Won,SalesLoft,38,Yes,2020-01-07,47 Months,$3K
563,Emerging,EMEA,,2020-01-27,,New Deal,New,Closed Won,,,Yes,2020-01-16,11 Months,$6K
564,Emerging,NA,,2020-01-27,,Upgrade,Upgrade,Closed Won,,,No,2020-01-24,47 Months,$4K
565,Emerging,EMEA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,6,Yes,2020-01-27,11 Months,$5K
566,SMB,NA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,56,Yes,2020-01-21,4 Months,$2K
567,Mid-Market,NA,Professional Services,2020-01-27,Data Vendor,New Deal,New,Closed Won,Data Vendor,190,Yes,2019-10-31,31 Months,$12K
568,SMB,NA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-09,60 Months,$5K
569,Emerging,NA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,15,Yes,2019-12-13,3 Months,$2K
570,Emerging,NA,Internet Software & Services,2020-01-27,SalesLoft,New Deal,New,Closed Won,SalesLoft,60,Yes,2020-01-23,4 Months,$5K
571,SMB,NA,Internet Software & Services,2020-01-27,,New Deal,New,Closed Won,,201,Yes,2019-09-10,39 Months,$8K
572,Emerging,EMEA,Internet Software & Services,2020-01-27,,Upgrade,Upgrade,Closed Won,,16,Yes,2020-01-27,11 Months,$3K
573,SMB,NA,Internet Software & Services,2020-01-26,,Upgrade,Upgrade,Closed Won,,86,Yes,2019-12-27,47 Months,$0.00
574,SMB,NA,Internet Software & Services,2020-01-26,ZoomInfo,New Deal,New,Closed Lost,ZoomInfo,200,No,2019-10-28,39 Months,$7K
575,Enterprise,NA,Internet Software & Services,2020-01-24,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,"7,000",Yes,2019-11-13,15 Months,$82K
576,Emerging,NA,Internet Software & Services,2020-01-24,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-23,47 Months,$1K
577,Emerging,NA,,2020-01-24,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-24,7 Months,$2K
578,SMB,NA,Professional Services,2020-01-24,,Upgrade,Upgrade,Closed Won,,180,Yes,2020-01-16,60 Months,$1K
579,Emerging,NA,,2020-01-24,,New Deal,New,Closed Lost,,,No,2019-12-12,7 Months,$11K
580,Emerging,NA,,2020-01-24,Outbound,New Deal,New,Closed Won,Outbound,29,Yes,2019-12-19,47 Months,$7K
581,SMB,NA,Internet Software & Services,2020-01-24,,Upgrade,Upgrade,Closed Won,,15,Yes,2020-01-21,39 Months,$22K
582,Emerging,EMEA,,2020-01-24,Website,New Deal,New,Closed Won,Website,,Yes,2019-10-11,11 Months,$12K
583,Enterprise,NA,Real Estate,2020-01-24,Datahug,New Deal,New,Closed Won,Datahug,"10,035",Yes,2019-09-27,15 Months,$7K
584,Emerging,NA,,2020-01-24,,New Deal,New,Closed Won,,,Yes,2020-01-16,58 Months,$5K
585,SMB,NA,,2020-01-24,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-23,47 Months,-$828.00
586,Enterprise,APAC,Professional Services,2020-01-24,Datahug,New Deal,New,Closed Won,Datahug,"3,000",Yes,2019-08-09,6 Months,$25K
587,Emerging,NA,Internet Software & Services,2020-01-24,,Upgrade,Upgrade,Disqualified,,50,Yes,2020-01-06,60 Months,$1K
588,Emerging,NA,,2020-01-24,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-23,7 Months,$2K
589,SMB,NA,Internet Software & Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,30,Yes,2020-01-14,47 Months,$24K
590,SMB,NA,Legal Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,210,Yes,2019-12-05,47 Months,$17K
591,Emerging,NA,Professional Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,28,Yes,2020-01-23,3 Months,$8K
592,SMB,NA,Professional Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,201,Yes,2020-01-23,47 Months,$1K
593,Emerging,NA,,2020-01-23,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-21,38 Months,$2K
594,SMB,NA,Internet Software & Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,59,Yes,2020-01-22,31 Months,$0.00
595,Enterprise,NA,Media,2020-01-23,,Upgrade,Upgrade,Closed Won,,580,Yes,2020-01-21,15 Months,$9K
596,Mid-Market,NA,Internet Software & Services,2020-01-23,Google Natural Search,New Deal,New,Closed Won,Google Natural Search,411,Yes,2019-10-11,39 Months,$138K
597,Emerging,NA,Internet Software & Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,60,Yes,2020-01-23,31 Months,$2K
598,Emerging,NA,,2020-01-23,Website,New Deal,New,Closed Won,Website,,Yes,2019-11-15,47 Months,$12K
599,Emerging,NA,Internet Software & Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,80,Yes,2020-01-22,39 Months,$4K
600,Emerging,Unknown,,2020-01-23,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-23,58 Months,-$900.00
601,Emerging,NA,Internet Software & Services,2020-01-23,Website,New Deal,Upgrade,Closed Won,Website,70,Yes,2019-06-12,39 Months,$7K
602,SMB,NA,Internet Software & Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,35,Yes,2020-01-21,60 Months,$9K
603,SMB,NA,Biotechnology,2020-01-23,,Upgrade,Upgrade,Closed Won,,116,Yes,2020-01-23,60 Months,$6K
604,Emerging,NA,Professional Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-14,39 Months,$14K
605,Emerging,NA,Internet Software & Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,15,Yes,2020-01-22,47 Months,$3K
606,Emerging,NA,Internet Software & Services,2020-01-23,,Upgrade,Upgrade,Closed Won,,70,Yes,2020-01-23,60 Months,$7K
607,Emerging,Unknown,,2020-01-22,,New Deal,New,Closed Won,,,Yes,2020-01-22,58 Months,$2K
608,Emerging,NA,,2020-01-22,Outbound,New Deal,New,Closed Won,Outbound,,Yes,2020-01-13,38 Months,$7K
609,Emerging,NA,,2020-01-22,Social Ads,New Deal,New,Closed Won,Social Ads,,Yes,2020-01-08,31 Months,$10K
610,Emerging,NA,Internet Software & Services,2020-01-22,Events,New Deal,New,Closed Won,Events,,Yes,2019-11-20,47 Months,$13K
611,Emerging,NA,,2020-01-22,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-21,58 Months,-$840.00
612,Enterprise,NA,Shipping,2020-01-22,,Upgrade,Upgrade,Closed Lost,,"12,790",No,2019-10-04,15 Months,$48K
613,Emerging,EMEA,Financial Services,2020-01-22,Social Ads,New Deal,New,Closed Lost,Social Ads,,No,2019-08-08,11 Months,$14K
614,SMB,NA,Manufacturing,2020-01-22,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,220,Yes,2019-12-23,4 Months,$2K
615,Emerging,NA,Health Care Providers & Services,2020-01-22,,Upgrade,Upgrade,Closed Won,,1,Yes,2020-01-22,60 Months,$5K
616,SMB,NA,Internet Software & Services,2020-01-22,,New Deal,New,Closed Won,,149,Yes,2019-09-26,31 Months,$12K
617,SMB,NA,Internet Software & Services,2020-01-22,,Upgrade,Upgrade,Closed Won,,90,Yes,2020-01-15,60 Months,$8K
618,SMB,NA,Internet Software & Services,2020-01-22,,Upgrade,Upgrade,Closed Won,,51,Yes,2020-01-16,60 Months,$10K
619,Emerging,NA,Internet Software & Services,2020-01-22,,Upgrade,Upgrade,Closed Won,,76,Yes,2020-01-21,31 Months,$7K
620,Mid-Market,NA,Internet Software & Services,2020-01-22,,Upgrade,Upgrade,Closed Won,,51,Yes,2020-01-21,60 Months,$30K
621,Enterprise,NA,Internet Software & Services,2020-01-22,,Upgrade,Upgrade,Closed Won,,"5,001",Yes,2020-01-13,15 Months,$61K
622,SMB,NA,Internet Software & Services,2020-01-22,,Upgrade,Upgrade,Closed Won,,0,Yes,2020-01-22,11 Months,$3K
623,SMB,NA,Internet Software & Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,231,Yes,2020-01-17,31 Months,$2K
624,Emerging,EMEA,,2020-01-21,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-16,11 Months,$4K
625,Emerging,EMEA,Internet Software & Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-20,11 Months,$1K
626,Emerging,NA,Professional Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,8,Yes,2020-01-21,60 Months,-$600.15
627,Emerging,NA,Internet Software & Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-17,60 Months,$3K
628,Emerging,EMEA,Internet Software & Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,11,Yes,2020-01-13,11 Months,$1K
629,Emerging,NA,Internet Software & Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,5,Yes,2020-01-16,60 Months,$7K
630,Emerging,NA,Internet Software & Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,63,Yes,2019-12-17,31 Months,$5K
631,Emerging,EMEA,,2020-01-21,,New Deal,New,Closed Won,,,Yes,2020-01-20,11 Months,$6K
632,Emerging,NA,Computer Software,2020-01-21,,Upgrade,Upgrade,Closed Won,,,Yes,2019-12-03,60 Months,$3K
633,Emerging,EMEA,Technology,2020-01-21,,Upgrade,Upgrade,Closed Won,,140,Yes,2020-01-10,11 Months,$11K
634,SMB,NA,Internet Software & Services,2020-01-21,DiscoverOrg,New Deal,New,Closed Won,DiscoverOrg,59,Yes,2020-01-02,31 Months,$7K
635,Emerging,NA,Internet Software & Services,2020-01-21,SalesLoft,New Deal,New,Closed Won,SalesLoft,16,Yes,2019-12-20,4 Months,$16K
636,Emerging,NA,Internet Software & Services,2020-01-21,Google Natural Search,New Deal,New,Closed Won,Google Natural Search,20,Yes,2019-12-11,31 Months,$28K
637,Emerging,NA,,2020-01-21,,New Deal,New,Closed Won,,,Yes,2019-12-09,4 Months,$8K
638,SMB,NA,Computer Software,2020-01-21,Website,New Deal,New,Closed Won,Website,50,Yes,2019-11-18,47 Months,$32K
639,Emerging,NA,Internet Software & Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,20,Yes,2020-01-15,47 Months,$3K
640,Emerging,NA,Internet Software & Services,2020-01-21,ZoomInfo,New Deal,New,Closed Won,ZoomInfo,60,Yes,2020-01-15,39 Months,$16K
641,Emerging,NA,Internet Software & Services,2020-01-21,Website,New Deal,New,Closed Won,Website,65,Yes,2019-12-06,38 Months,$5K
642,Emerging,NA,Internet Software & Services,2020-01-21,,Upgrade,Upgrade,Closed Won,,,Yes,2020-01-17,47 Months,$2K
